X*,Y*,date_index
3188852.8695878326,-10894570.359235344,332.0
3195072.78508214,-10893653.087352976,333.0
3172642.329384867,-10899895.217902303,334.0
3279792.2431488596,-10850663.275034016,335.0
3307856.2496659076,-10847591.648962159,336.0
3244058.9521800214,-10895633.340203075,337.0
3197690.006893218,-11006620.266429543,338.0
3188853.776770805,-11042229.571275514,339.0
3181642.270220337,-11027595.549272625,340.0
3210426.8881707476,-10923140.761960788,341.0
3465008.925310056,-10839865.235074554,342.0
3550690.6513374336,-10821923.698530247,343.0
3593676.451343532,-10820986.37480773,344.0
3546343.9023894216,-10835726.645394472,345.0
3460072.551513039,-10746953.638970956,346.0
3435361.5364157967,-10728956.488302108,347.0
3403017.677736701,-10737294.508602524,348.0
3405743.493047544,-10736405.159153,349.0
3401633.0477832686,-10738451.374769416,350.0
3399927.6978701623,-10732265.673517922,351.0
3397056.4172340124,-10735627.417160891,352.0
3405349.9273558427,-10751660.028577223,353.0
3377617.7952135885,-10776136.595710464,354.0
3258089.8137430116,-10821839.134155266,355.0
3229169.2754762787,-10842614.019079484,356.0
3214409.140402261,-10844798.9370803,357.0
3213273.910262712,-10847151.890572079,358.0
3197220.1863720124,-10851413.147195451,359.0
3184090.258985309,-10855042.877579521,360.0
3126126.5930022723,-10884341.421356924,361.0
3093885.924556451,-10897987.10243591,362.0
3035089.824351058,-10905288.402464129,363.0
3026456.0466068345,-10906237.933509761,364.0
