LATITUDE,LONGITUDE,OBSERVATION DATE
3081014.1840633443,-10880863.526195446,43182
4118290.9317548866,-12505903.994510325,43182
3081014.1840633443,-10880863.526195446,43182
3081014.1840633443,-10880863.526195446,43182
3081014.1840633443,-10880863.526195446,43182
3013003.2466894845,-10834496.03057744,43182
3013003.2466894845,-10834496.03057744,43182
3636513.644991846,-10865514.015568435,43182
3016233.8001305303,-10946355.732595636,43182
3016233.8001305303,-10946355.732595636,43182
3016233.8001305303,-10946355.732595636,43182
3016233.8001305303,-10946355.732595636,43182
3636513.644991846,-10865514.015568435,43182
3096966.6799724447,-10883787.243565537,43182
3096966.6799724447,-10883787.243565537,43182
3096966.6799724447,-10883787.243565537,43182
3096966.6799724447,-10883787.243565537,43182
3096966.6799724447,-10883787.243565537,43182
4127564.416739154,-12507131.959813263,43182
3096966.6799724447,-10883787.243565537,43182
3345495.853316876,-10698112.143799778,43182
3096966.6799724447,-10883787.243565537,43182
3188582.582924459,-10897734.607282365,43182
3096966.6799724447,-10883787.243565537,43182
3186018.363579812,-10876380.587145137,43182
3200070.804033939,-10966248.404320734,43182
3010758.999208893,-10907172.195788177,43183
3010758.999208893,-10907172.195788177,43183
3016233.8001305303,-10946355.732595636,43183
3081014.1840633443,-10880863.526195446,43183
3081014.1840633443,-10880863.526195446,43183
3081014.1840633443,-10880863.526195446,43183
4118290.9317548866,-12505903.994510325,43183
3081014.1840633443,-10880863.526195446,43183
3081014.1840633443,-10880863.526195446,43183
3081014.1840633443,-10880863.526195446,43183
3013003.2466894845,-10834496.03057744,43183
3013003.2466894845,-10834496.03057744,43183
3636513.644991846,-10865514.015568435,43183
3016233.8001305303,-10946355.732595636,43183
3016233.8001305303,-10946355.732595636,43183
3016233.8001305303,-10946355.732595636,43183
3016233.8001305303,-10946355.732595636,43183
3636513.644991846,-10865514.015568435,43183
3096966.6799724447,-10883787.243565537,43183
3096966.6799724447,-10883787.243565537,43183
3096966.6799724447,-10883787.243565537,43183
3096966.6799724447,-10883787.243565537,43183
3096966.6799724447,-10883787.243565537,43183
4127564.416739154,-12507131.959813263,43183
3096966.6799724447,-10883787.243565537,43183
3345495.853316876,-10698112.143799778,43183
3096966.6799724447,-10883787.243565537,43183
3188582.582924459,-10897734.607282365,43183
3096966.6799724447,-10883787.243565537,43183
3993740.2370636133,-10770466.96303644,43183
3993740.2370636133,-10770466.96303644,43183
3993740.2370636133,-10770466.96303644,43183
3993740.2370636133,-10770466.96303644,43183
2878260.217768246,-11197382.564696152,43183
3993740.2370636133,-10770466.96303644,43183
2878260.217768246,-11197382.564696152,43183
3016233.8001305303,-10946355.732595636,43183
3016233.8001305303,-10946355.732595636,43183
3461374.3885839405,-10717140.184736155,43183
2992024.124109364,-11176156.487018215,43183
2992024.124109364,-11176156.487018215,43183
2992024.124109364,-11176156.487018215,43183
3200070.804033939,-10966248.404320734,43183
3081014.1840633443,-10880863.526195446,43184
3081014.1840633443,-10880863.526195446,43184
3081014.1840633443,-10880863.526195446,43184
4118290.9317548866,-12505903.994510325,43184
3081014.1840633443,-10880863.526195446,43184
3081014.1840633443,-10880863.526195446,43184
3081014.1840633443,-10880863.526195446,43184
3013003.2466894845,-10834496.03057744,43184
3013003.2466894845,-10834496.03057744,43184
3636513.644991846,-10865514.015568435,43184
3016233.8001305303,-10946355.732595636,43184
3016233.8001305303,-10946355.732595636,43184
3016233.8001305303,-10946355.732595636,43184
3016233.8001305303,-10946355.732595636,43184
3636513.644991846,-10865514.015568435,43184
3096966.6799724447,-10883787.243565537,43184
3096966.6799724447,-10883787.243565537,43184
3096966.6799724447,-10883787.243565537,43184
3096966.6799724447,-10883787.243565537,43184
3096966.6799724447,-10883787.243565537,43184
4127564.416739154,-12507131.959813263,43184
3096966.6799724447,-10883787.243565537,43184
3345495.853316876,-10698112.143799778,43184
3096966.6799724447,-10883787.243565537,43184
3188582.582924459,-10897734.607282365,43184
3096966.6799724447,-10883787.243565537,43184
3993740.2370636133,-10770466.96303644,43184
3993740.2370636133,-10770466.96303644,43184
3993740.2370636133,-10770466.96303644,43184
3993740.2370636133,-10770466.96303644,43184
2878260.217768246,-11197382.564696152,43184
3993740.2370636133,-10770466.96303644,43184
2878260.217768246,-11197382.564696152,43184
3016233.8001305303,-10946355.732595636,43184
3016233.8001305303,-10946355.732595636,43184
3461374.3885839405,-10717140.184736155,43184
2992024.124109364,-11176156.487018215,43184
2992024.124109364,-11176156.487018215,43184
2992024.124109364,-11176156.487018215,43184
3104210.936979714,-10885174.91894192,43184
3096966.6799724447,-10883787.243565537,43184
3590600.7426985367,-10744241.894381296,43184
3096966.6799724447,-10883787.243565537,43184
3016233.8001305303,-10946355.732595636,43184
3095027.669314372,-10876064.465023704,43184
3200070.804033939,-10966248.404320734,43184
3013003.2466894845,-10834496.03057744,43185
3013003.2466894845,-10834496.03057744,43185
3636513.644991846,-10865514.015568435,43185
3016233.8001305303,-10946355.732595636,43185
3016233.8001305303,-10946355.732595636,43185
3016233.8001305303,-10946355.732595636,43185
3016233.8001305303,-10946355.732595636,43185
3636513.644991846,-10865514.015568435,43185
3096966.6799724447,-10883787.243565537,43185
3096966.6799724447,-10883787.243565537,43185
3096966.6799724447,-10883787.243565537,43185
3096966.6799724447,-10883787.243565537,43185
3096966.6799724447,-10883787.243565537,43185
4127564.416739154,-12507131.959813263,43185
3096966.6799724447,-10883787.243565537,43185
3345495.853316876,-10698112.143799778,43185
3096966.6799724447,-10883787.243565537,43185
3188582.582924459,-10897734.607282365,43185
3096966.6799724447,-10883787.243565537,43185
3993740.2370636133,-10770466.96303644,43185
3993740.2370636133,-10770466.96303644,43185
3993740.2370636133,-10770466.96303644,43185
3993740.2370636133,-10770466.96303644,43185
2878260.217768246,-11197382.564696152,43185
3993740.2370636133,-10770466.96303644,43185
2878260.217768246,-11197382.564696152,43185
3016233.8001305303,-10946355.732595636,43185
3016233.8001305303,-10946355.732595636,43185
3461374.3885839405,-10717140.184736155,43185
2992024.124109364,-11176156.487018215,43185
2992024.124109364,-11176156.487018215,43185
2992024.124109364,-11176156.487018215,43185
3104210.936979714,-10885174.91894192,43185
3096966.6799724447,-10883787.243565537,43185
3590600.7426985367,-10744241.894381296,43185
3096966.6799724447,-10883787.243565537,43185
3016233.8001305303,-10946355.732595636,43185
3095027.669314372,-10876064.465023704,43185
4085705.9852602044,-10032914.133074965,43185
3490716.649125302,-10665946.488254553,43185
3490716.649125302,-10665946.488254553,43185
3490716.649125302,-10665946.488254553,43185
3490716.649125302,-10665946.488254553,43185
3490716.649125302,-10665946.488254553,43185
3490716.649125302,-10665946.488254553,43185
3200070.804033939,-10966248.404320734,43185
3345495.853316876,-10698112.143799778,43186
3096966.6799724447,-10883787.243565537,43186
3188582.582924459,-10897734.607282365,43186
3096966.6799724447,-10883787.243565537,43186
3993740.2370636133,-10770466.96303644,43186
3993740.2370636133,-10770466.96303644,43186
3993740.2370636133,-10770466.96303644,43186
3993740.2370636133,-10770466.96303644,43186
2878260.217768246,-11197382.564696152,43186
3993740.2370636133,-10770466.96303644,43186
2878260.217768246,-11197382.564696152,43186
3016233.8001305303,-10946355.732595636,43186
3016233.8001305303,-10946355.732595636,43186
3461374.3885839405,-10717140.184736155,43186
2992024.124109364,-11176156.487018215,43186
2992024.124109364,-11176156.487018215,43186
2992024.124109364,-11176156.487018215,43186
3104210.936979714,-10885174.91894192,43186
3096966.6799724447,-10883787.243565537,43186
3590600.7426985367,-10744241.894381296,43186
3096966.6799724447,-10883787.243565537,43186
3016233.8001305303,-10946355.732595636,43186
3095027.669314372,-10876064.465023704,43186
4085705.9852602044,-10032914.133074965,43186
3490716.649125302,-10665946.488254553,43186
3490716.649125302,-10665946.488254553,43186
3490716.649125302,-10665946.488254553,43186
3490716.649125302,-10665946.488254553,43186
3490716.649125302,-10665946.488254553,43186
3490716.649125302,-10665946.488254553,43186
3096966.6799724447,-10883787.243565537,43186
3096966.6799724447,-10883787.243565537,43186
3096966.6799724447,-10883787.243565537,43186
3096966.6799724447,-10883787.243565537,43186
3096966.6799724447,-10883787.243565537,43186
3096966.6799724447,-10883787.243565537,43186
3200070.804033939,-10966248.404320734,43186
3993740.2370636133,-10770466.96303644,43187
3993740.2370636133,-10770466.96303644,43187
3993740.2370636133,-10770466.96303644,43187
3993740.2370636133,-10770466.96303644,43187
2878260.217768246,-11197382.564696152,43187
3993740.2370636133,-10770466.96303644,43187
2878260.217768246,-11197382.564696152,43187
3016233.8001305303,-10946355.732595636,43187
3016233.8001305303,-10946355.732595636,43187
3461374.3885839405,-10717140.184736155,43187
2992024.124109364,-11176156.487018215,43187
2992024.124109364,-11176156.487018215,43187
2992024.124109364,-11176156.487018215,43187
3104210.936979714,-10885174.91894192,43187
3096966.6799724447,-10883787.243565537,43187
3590600.7426985367,-10744241.894381296,43187
3096966.6799724447,-10883787.243565537,43187
3016233.8001305303,-10946355.732595636,43187
3095027.669314372,-10876064.465023704,43187
4085705.9852602044,-10032914.133074965,43187
3490716.649125302,-10665946.488254553,43187
3490716.649125302,-10665946.488254553,43187
3490716.649125302,-10665946.488254553,43187
3490716.649125302,-10665946.488254553,43187
3490716.649125302,-10665946.488254553,43187
3490716.649125302,-10665946.488254553,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
4584384.774571184,-10923144.294063298,43187
3253686.9920108877,-10824230.169400383,43187
3253686.9920108877,-10824230.169400383,43187
3016233.8001305303,-10946355.732595636,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3345495.853316876,-10698112.143799778,43187
4585544.62737726,-10920374.976826934,43187
4585544.62737726,-10920374.976826934,43187
3027543.0089674927,-10836584.874030482,43187
3016233.8001305303,-10946355.732595636,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3096966.6799724447,-10883787.243565537,43187
3345495.853316876,-10698112.143799778,43187
3200070.804033939,-10966248.404320734,43187
3993740.2370636133,-10770466.96303644,43188
3993740.2370636133,-10770466.96303644,43188
3993740.2370636133,-10770466.96303644,43188
3993740.2370636133,-10770466.96303644,43188
2878260.217768246,-11197382.564696152,43188
3993740.2370636133,-10770466.96303644,43188
2878260.217768246,-11197382.564696152,43188
3016233.8001305303,-10946355.732595636,43188
3016233.8001305303,-10946355.732595636,43188
3461374.3885839405,-10717140.184736155,43188
2992024.124109364,-11176156.487018215,43188
2992024.124109364,-11176156.487018215,43188
2992024.124109364,-11176156.487018215,43188
3104210.936979714,-10885174.91894192,43188
3096966.6799724447,-10883787.243565537,43188
3590600.7426985367,-10744241.894381296,43188
3096966.6799724447,-10883787.243565537,43188
3016233.8001305303,-10946355.732595636,43188
3095027.669314372,-10876064.465023704,43188
4085705.9852602044,-10032914.133074965,43188
3490716.649125302,-10665946.488254553,43188
3490716.649125302,-10665946.488254553,43188
3490716.649125302,-10665946.488254553,43188
3490716.649125302,-10665946.488254553,43188
3490716.649125302,-10665946.488254553,43188
